month,day,year,event,category,source
4,1,1944,U.S. accidentally bombs Switzerland during WWII.,Military,Wikipedia
4,1,1945,Okinawa battle operations begin.,Military,Wikipedia
4,1,1946,Aleutian tsunami strikes.,Disasters,Wikipedia
4,1,1946,Malayan Union is established.,Politics,Wikipedia
4,1,1947,Mutiny at HMNZS Philomel occurs.,Military,Wikipedia
4,1,1948,Berlin Airlift begins.,History,Wikipedia
4,1,1950,Economic integration of Europe advances.,Politics,Wikipedia
4,1,1954,The Enemy That Never Was book events.,History,Wikipedia
4,1,1954,Air Force Academy Act is signed by Eisenhower.,Politics,Wikipedia
4,1,1955,British counter-insurgency campaign on Cyprus begins.,Military,Wikipedia
4,1,1960,First television picture of Earth from space is captured by TIROS-1.,History,Wikipedia
4,1,1964,Defence Transfer of Functions Act is passed in the UK.,Politics,Wikipedia
4,1,1969,Hawker Siddeley SE-210 Viking development advances.,Military,Wikipedia
4,1,1970,Public Health Cigarette Smoking Act is passed.,Politics,Wikipedia
4,1,1970,Sud Aviation SE-210 SE Viking crashes in Berrechid.,Disasters,Wikipedia
4,1,1972,Local Government Act 1972 takes effect in the UK.,Politics,Wikipedia
4,1,1979,Iran tribesmen renew fighting.,Military,Wikipedia
4,1,1986,Nepal transitions from people's war to fragile peace.,Politics,Wikipedia
4,1,1987,Poll tax battles occur in Glasgow.,Politics,Wikipedia
4,1,1993,National Transportation Safety Board aviation accident report.,Disasters,Wikipedia
4,1,1995,Hale-Bopp comet is discovered.,History,Wikipedia
4,1,1999,New Northwest Territories are created.,Politics,Wikipedia
4,1,2001,U.S. aircraft collides with Chinese fighter.,Military,Wikipedia
4,1,2001,Yale Journal of International Law events.,Politics,Wikipedia
4,1,2001,Same-sex marriage is legalized in Amsterdam.,Politics,Wikipedia
4,1,2004,Gmail is launched by Google.,History,Wikipedia
4,1,2011,Deadly Kandahar protest over Koran burning in Afghanistan.,Disasters,Wikipedia
4,1,2016,12-year-old Vaghinak Grigoryan is killed in Azeri shelling.,Disasters,Wikipedia
4,1,2024,Iran accuses Israel of killing generals in Syria strike.,Military,Wikipedia
4,1,2025,Val Kilmer dies at 65.,Deaths,Wikipedia
4,1,2025,Johnny Tillotson dies at 86.,Deaths,Wikipedia
4,1,1625,William Harvey,English physician,Births,Wikipedia
4,1,1697,Antoine François Prévost,French writer,Births,Wikipedia
4,1,1815,Julie-Victoire Daubié,French feminist,Births,Wikipedia
4,1,1817,Joseph Lister,English surgeon,Births,Wikipedia
4,1,1837,James Fisk,American financier,Births,Wikipedia
4,1,1854,Columba Marmion,Irish monk,Births,Wikipedia
4,1,1892,Jerome Kern,American composer,Births,Wikipedia
4,1,1900,Stefanie Fryland Clausen,Danish sculptor,Births,Wikipedia
4,1,1902,Maria Polydouri,Greek poet,Births,Wikipedia
4,1,1912,E. Franklin Frazier,American sociologist,Births,Wikipedia
4,1,1919,Joseph R. Jefferson,American scientist,Births,Wikipedia
4,1,1929,Milan Kundera,Czech writer,Births,Wikipedia
4,1,1930,Grace Lee Whitney,American actress,Births,Wikipedia
4,1,1932,Debbie Reynolds,American actress,Births,Wikipedia
4,1,1933,Bengt Holbek,Danish folklorist,Births,Wikipedia
4,1,1937,Denise Nicholas,American actress,Births,Wikipedia
4,1,1940,Yılmaz Güney,Turkish filmmaker,Births,Wikipedia
4,1,1943,Ernestina Sila,Guinean politician,Births,Wikipedia
4,1,1944,Sonia Bisset,Cuban javelin thrower,Births,Wikipedia
4,1,1976,Gábor Király,Hungarian footballer,Births,Wikipedia
4,1,1985,Beth Tweddle,British gymnast,Births,Wikipedia
4,1,1985,Nikos Kourtidis,Greek triple jumper,Births,Wikipedia
4,1,1985,Antunes,Portuguese footballer,Births,Wikipedia
4,1,1988,Brook Lopez,American basketball player,Births,Wikipedia
4,1,1988,Robin Lopez,American basketball player,Births,Wikipedia
4,1,1989,Jan Blokhuijsen,Dutch speed skater,Births,Wikipedia
4,1,1990,Duván Zapata,Colombian footballer,Births,Wikipedia
4,1,1995,Jofra Archer,Barbadian cricketer,Births,Wikipedia
4,1,1997,Sophia Hutchins,American manager,Births,Wikipedia
4,1,1997,Mackenzie Davis,Canadian actress,Births,Wikipedia
4,1,1997,Asa Butterfield,British actor,Births,Wikipedia
4,1,1998,Alex Palou,Spanish racing driver,Births,Wikipedia
4,1,1998,Mitchell Robinson,American basketball player,Births,Wikipedia
4,1,1999,Gabriel Davis,American football player,Births,Wikipedia
4,1,2000,Rhian Brewster,English footballer,Births,Wikipedia
4,1,1123,St. Hugh of Grenoble,French bishop,Deaths,Wikipedia
4,1,1204,Eleanor of Aquitaine,Queen of France and England,Deaths,Wikipedia
4,1,1241,William of Adelme,English saint,Deaths,Wikipedia
4,1,1455,Zbigniew Oleśnicki,Polish bishop,Deaths,Wikipedia
4,1,1528,Francisco de Peñalosa,Spanish composer,Deaths,Wikipedia
4,1,1548,Sigismund I the Old,Polish king,Deaths,Wikipedia
4,1,1617,Cristofano Allori,Italian painter,Deaths,Wikipedia
4,1,1703,Fürstenberg,Historical figure,Deaths,Wikipedia
4,1,1718,Floyer Sydenham,English scholar,Deaths,Wikipedia
4,1,1805,James M. Bugbee,American historical figure,Deaths,Wikipedia
4,1,1850,Antonis Kriezis,Greek admiral,Deaths,Wikipedia
4,1,1864,Isabelle Putnam Emerson,American singer,Deaths,Wikipedia
4,1,1884,London Quarterly Review figure,Deaths,Wikipedia
4,1,1878,John Corry Wilson Daly,Canadian politician,Deaths,Wikipedia
4,1,1883,David Wilber,American politician,Deaths,Wikipedia
4,1,1914,Rube Waddell,American baseball player,Deaths,Wikipedia
4,1,1917,Scott Joplin,American composer,Deaths,Wikipedia
4,1,1922,Charles I of Austria,Emperor,Deaths,Wikipedia
4,1,1924,Jacob Bolotin,American physician,Deaths,Wikipedia
4,1,1925,Lloyd Hildebrand,Australian athlete,Deaths,Wikipedia
4,1,1905,Stan Rowley,Australian sprinter,Deaths,Wikipedia
4,1,1946,Noah Beery Sr.,American actor,Deaths,Wikipedia
4,1,1947,King George II of Greece,Greek monarch,Deaths,Wikipedia
4,1,1950,Charles R. Drew,American surgeon,Deaths,Wikipedia
4,1,1951,Metin Tamkoç,Turkish diplomat,Deaths,Wikipedia
4,1,1963,Agnes Mowinckel,Norwegian actress,Deaths,Wikipedia
4,1,1967,Barbara Sicherman,American historian,Deaths,Wikipedia
4,1,1976,Lev Landau,Soviet physicist,Deaths,Wikipedia
4,1,1976,Marilyn Bailey Ogilvie,American historian,Deaths,Wikipedia
4,1,1976,Max Ernst,German artist,Deaths,Wikipedia
4,1,1984,Elizabeth Goudge,British author,Deaths,Wikipedia
4,1,1986,Erik Bruhn,Danish dancer,Deaths,Wikipedia
4,1,1986,Henri Cochet,French tennis player,Deaths,Wikipedia
4,1,1991,Martha Graham,American dancer,Deaths,Wikipedia
4,1,1991,Jaime Guzmán,Chilean politician,Deaths,Wikipedia
4,1,1992,Lord Havers,British attorney general,Deaths,Wikipedia
4,1,1993,Alan Kulwicki,American race car driver,Deaths,Wikipedia
4,1,1994,Robert Doisneau,French photographer,Deaths,Wikipedia
4,1,1995,H. Adams Carter,American mountaineer,Deaths,Wikipedia
4,1,1995,Francisco Moncion,Dominican dancer,Deaths,Wikipedia
4,1,1995,Lucie Rie,Austrian potter,Deaths,Wikipedia
4,1,1998,Mário Viegas,Portuguese actor,Deaths,Wikipedia
4,1,1998,Rozz Williams,American musician,Deaths,Wikipedia
4,1,1999,Jesse Stone,American musician,Deaths,Wikipedia
4,1,2001,Trịnh Công Sơn,Vietnamese composer,Deaths,Wikipedia
4,1,2002,Simo Häyhä,Finnish sniper,Deaths,Wikipedia
4,1,2003,Leslie Cheung,Hong Kong actor,Deaths,Wikipedia
4,1,2004,Takizō Kudō,Greek footballer,Deaths,Wikipedia
4,1,2004,Carrie Snodgress,American actress,Deaths,Wikipedia
4,1,2005,Paul Bomani,Tanzanian diplomat,Deaths,Wikipedia
4,1,2005,Robert Wood,American educator,Deaths,Wikipedia
4,1,2006,Tam In,Historical figure,Deaths,Wikipedia
4,1,2010,John Forsythe,American actor,Deaths,Wikipedia
4,1,2010,Tzannis Tzannetakis,Greek politician,Deaths,Wikipedia
4,1,2012,Lionel Bowen,Australian politician,Deaths,Wikipedia
4,1,2012,Giorgio Chinaglia,Italian footballer,Deaths,Wikipedia
4,1,2012,Miguel de la Madrid,Mexican president,Deaths,Wikipedia
4,1,2013,Moses Blah,Liberian president,Deaths,Wikipedia
4,1,2013,Karen Muir,South African swimmer,Deaths,Wikipedia
4,1,2014,King Fleming,American pianist,Deaths,Wikipedia
5,1,1493,Christopher Columbus sets sail for his first voyage to the Indies.,History,Wikipedia
5,1,1707,Act of Union between England and Scotland takes effect, creating the Kingdom of Great Britain.,Politics,Wikipedia
5,1,1807,British Parliament passes the Slave Trade Act, abolishing the slave trade in the British Empire.,Politics,Wikipedia
5,1,1863,Battle of Chancellorsville begins in the American Civil War.,Military,Wikipedia
5,1,1863,Battle of Port Gibson occurs during the American Civil War.,Military,Wikipedia
5,1,1893,Coxey's Army, a protest march of unemployed workers, begins in the United States.,History,Wikipedia
5,1,1896,Nasir al-Din Shah, Shah of Iran, is assassinated.,Politics,Wikipedia
5,1,1898,Battle of Manila Bay occurs during the Spanish-American War.,Military,Wikipedia
5,1,1921,Jaffa riots erupt in Mandatory Palestine.,Disasters,Wikipedia
5,1,1930,Planet Pluto is discovered by Clyde Tombaugh.,History,Wikipedia
5,1,1957,Vickers 610 Viking Viking 1B crashes near Star Hill, killing all 35 on board.,Disasters,Wikipedia
5,1,1960,U-2 incident: An American U-2 spy plane is shot down over the Soviet Union.,Military,Wikipedia
5,1,1978,World's first structure for an amusement park, Särkänniemi, opens in Tampere, Finland.,History,Wikipedia
5,1,1978,Angola gains independence from Portugal.,Politics,Wikipedia
5,1,1993,Suicide bomber kills Ranasinghe Premadasa, President of Sri Lanka.,Politics,Wikipedia
5,1,1994,Ayrton Senna is killed in a crash at the San Marino Grand Prix.,Disasters,Wikipedia
5,1,1997,United Kingdom holds general election; Tony Blair's Labour Party wins in a landslide.,Politics,Wikipedia
5,1,2003,George Mallory's body is recovered on Mount Everest.,History,Wikipedia
5,1,2009,Sweden legalizes same-sex marriage.,Politics,Wikipedia
5,1,2010,Faisal Shahzad attempts Times Square car bombing in New York City.,Disasters,Wikipedia
5,1,2017,United States conducts airstrikes against ISIS in Iraq and Syria.,Military,Wikipedia
5,1,2018,US-backed Syrian Democratic Forces resume battle against ISIS.,Military,Wikipedia
5,1,2019,Maoist insurgents attack police convoy in India, killing 16.,Disasters,Wikipedia
5,1,2019,Japan announces the new imperial era name Reiwa.,Politics,Wikipedia
5,1,2024,Boycott of Loblaws-owned stores begins in Canada.,History,Wikipedia
5,1,1602,William Lilly, English astrologer, is born.,Births,Wikipedia
5,1,1819,Andreas Laskaratos, Greek satirist, is born.,Births,Wikipedia
5,1,1895,May Hollinworth, Australian nurse, is born.,Births,Wikipedia
5,1,1906,Lillian Estelle Fisher, American historian, is born.,Births,Wikipedia
5,1,1910,Clelia Lollini, Italian mathematician, is born.,Births,Wikipedia
5,1,1910,Anna Louise Strong, American journalist, is born.,Births,Wikipedia
5,1,1927,Greta Andersen, Danish swimmer, is born.,Births,Wikipedia
5,1,1969,Mary Lou McDonald, Irish politician, is born.,Births,Wikipedia
5,1,1975,Alexey Smertin, Russian footballer, is born.,Births,Wikipedia
5,1,1976,James Murray, American comedian, is born.,Births,Wikipedia
5,1,1978,Michael Russell, American tennis player, is born.,Births,Wikipedia
5,1,1983,Park Hae-jin, South Korean actor, is born.,Births,Wikipedia
5,1,1987,Victoria Monét, American singer, is born.,Births,Wikipedia
5,1,1990,Caitlin Stasey, Australian actress, is born.,Births,Wikipedia
5,1,1992,Madison Beer, American singer, is born.,Births,Wikipedia
5,1,1996,William Nylander, Swedish ice hockey player, is born.,Births,Wikipedia
5,1,1997,Miles Sanders, American football player, is born.,Births,Wikipedia
5,1,1999,YNW Melly, American rapper, is born.,Births,Wikipedia
5,1,2000,Tiffany Stratton, American wrestler, is born.,Births,Wikipedia
5,1,2001,Rema, Nigerian singer, is born.,Births,Wikipedia
5,1,2002,Chet Holmgren, American basketball player, is born.,Births,Wikipedia
5,1,2003,Lizzy Greene, American actress, is born.,Births,Wikipedia
5,1,2005,Linda Fruhvirtova, Czech tennis player, is born.,Births,Wikipedia
5,1,1118,Matilda, wife of Henry I of England, dies.,Deaths,Wikipedia
5,1,1479,Isabella of Portugal, Duchess of Burgundy, dies.,Deaths,Wikipedia
5,1,1572,Pope Pius V dies.,Deaths,Wikipedia
5,1,1667,François de Troy, French painter, dies.,Deaths,Wikipedia
5,1,1912,William Thompson Sloper, Titanic survivor, dies.,Deaths,Wikipedia
5,1,2015,Grace Lee Whitney, American actress, dies.,Deaths,Wikipedia
5,1,2021,Olympia Dukakis, American actress, dies.,Deaths,Wikipedia
5,1,2023,Gordon Lightfoot, Canadian singer, dies.,Deaths,Wikipedia
8,1,-30,Mark Antony, Roman triumvir, commits suicide after defeat at Actium,Military,Wikipedia
8,1,30,Claudius becomes Roman Emperor after assassination of Caligula,Politics,Wikipedia
8,1,527,Justinian I begins his reign as king of Byzantium,Politics,Wikipedia
8,1,1086,Battle of the Nile: British fleet defeats French fleet in Aboukir Bay,Military,Wikipedia
8,1,1834,Slavery abolished in most British colonies,Politics,Wikipedia
8,1,1849,Brigantine Joven Daniel shipwrecks off coast of Chile,Disasters,Wikipedia
8,1,1897,First Geneva Convention signed,Politics,Wikipedia
8,1,1915,Patrick Pearse delivers graveside oration for Jeremiah O'Donovan Rossa,Politics,Wikipedia
8,1,1944,Anne Frank makes her final diary entry,History,Wikipedia
8,1,1947,US National Security Act establishes CIA and NSC,Politics,Wikipedia
8,1,1975,Helsinki Accords signed by 35 nations,Politics,Wikipedia
8,1,1976,Niki Lauda wins German Grand Prix at Nürburgring,Sports,Wikipedia
8,1,1988,Ballygawley bus bombing kills 8 British soldiers in Northern Ireland,Disasters,Wikipedia
8,1,1990,Yak-40 crash near Stepanakert kills 35 in Armenia,Disasters,Wikipedia
8,1,1998,Puntland declares independence from Somalia,Politics,Wikipedia
8,1,2023,Donald Trump indicted by grand jury in Georgia election probe,Politics,Wikipedia
8,1,1770,William Clark, American explorer and governor, born,Births,Wikipedia
8,1,1779,Francis Scott Key, American lawyer and author of The Star-Spangled Banner, born,Births,Wikipedia
8,1,1809,William B. Travis, commander at the Alamo, born,Births,Wikipedia
8,1,1815,Richard Henry Dana Jr., American lawyer and author, born,Births,Wikipedia
8,1,1818,Maria Mitchell, American astronomer, born,Births,Wikipedia
8,1,1819,Herman Melville, American novelist, born,Births,Wikipedia
8,1,1843,Robert Todd Lincoln, American politician, born,Births,Wikipedia
8,1,1857,George de Hevesy, Hungarian-Swedish chemist, born,Births,Wikipedia
8,1,1903,Paul Horgan, American writer, born,Births,Wikipedia
8,1,1905,Helen Sawyer Hogg, Canadian astronomer, born,Births,Wikipedia
8,1,1907,Eric Shipton, British explorer, born,Births,Wikipedia
8,1,1911,Jack Delano, American photographer, born,Births,Wikipedia
8,1,1921,Jack Kramer, American tennis player, born,Births,Wikipedia
8,1,1936,William Donald Hamilton, British biologist, born,Births,Wikipedia
8,1,1942,Graham Thorpe, English cricketer, born,Births,Wikipedia
8,1,1981,Marissa Paternoster, American musician, born,Births,Wikipedia
8,1,1987,Taapsee Pannu, Indian actress, born,Births,Wikipedia
8,1,1990,Nemanja Matić, Hungarian footballer, born,Births,Wikipedia
8,1,2001,Scottie Barnes, Canadian basketball player, born,Births,Wikipedia
8,1,30,Mark Antony, Roman triumvir, dies,Deaths,Wikipedia
8,1,69,Claudius, Roman Emperor, dies,Deaths,Wikipedia
8,1,1137,Louis VI, King of France, dies,Deaths,Wikipedia
8,1,1420,Raimondo Montecuccoli, Italian military leader, dies,Deaths,Wikipedia
8,1,1714,Queen Anne of Great Britain, dies,Deaths,Wikipedia
8,1,1787,Alp De Banos, Ottoman governor, dies,Deaths,Wikipedia
8,1,1866,John Ross, Cherokee chief, dies,Deaths,Wikipedia
8,1,1903,Calamity Jane, American frontierswoman, dies,Deaths,Wikipedia
8,1,1920,Bal Gangadhar Tilak, Indian independence activist, dies,Deaths,Wikipedia
8,1,1938,Edwin Austin Abbey, American artist, dies,Deaths,Wikipedia
8,1,1981,Joe McDonnell, Irish hunger striker, dies,Deaths,Wikipedia
8,1,2008,Yves Saint Laurent, French fashion designer, dies,Deaths,Wikipedia
10,1,331,Alexander the Great defeats Darius III at the Battle of Gaugamela,History,Wikipedia
10,1,959,Æthelny becomes king of England,Politics,Wikipedia
10,1,1189,Jerusalem is captured by Saladin,Military,Wikipedia
10,1,1553,Mary I is crowned Queen of England,Politics,Wikipedia
10,1,1661,Isaac Newton begins studies at Cambridge University,Education,Wikipedia
10,1,1668,Jan Janszoon van Meurs publishes the first map of the New Netherlands,Exploration,Wikipedia
10,1,1688,Prince William III of Orange sets sail from Hellevoetsluis, Netherlands, to depose James II of England,Politics,Wikipedia
10,1,1700,Russia begins the Great Northern War against Sweden,Military,Wikipedia
10,1,1774,The first Continental Congress adjourns in Philadelphia,Politics,Wikipedia
10,1,1777,American Revolutionary War: Americans defeat the British at Saratoga,Military,Wikipedia
10,1,1787,Russians under Alexander Suvorov defeat the Turks at Kinburn,Military,Wikipedia
10,1,1791,First session of the French Legislative Assembly,Politics,Wikipedia
10,1,1795,Belgium is conquered by France,Military,Wikipedia
10,1,1800,Spain cedes Louisiana to France via the Treaty of San Ildefonso,Politics,Wikipedia
10,1,1811,The first steamboat to make an ocean-going journey departs from the dock at Catskill, New York,Technology,Wikipedia
10,1,1814,Congress of Vienna opens to re-draw Europe's political map after the defeat of Napoleon,Politics,Wikipedia
10,1,1827,Russians storm the Turkish fortress of Navarino,Military,Wikipedia
10,1,1829,The state of Tamil Nadu is founded in India,Politics,Wikipedia
10,1,1836,Francoist Spain is established,Politics,Wikipedia
10,1,1843,Baby Swiss cheese is invented by the Knell family in Ohio,Invention,Wikipedia
10,1,1847,Germany's first ragtag parliament, the Frankfurt Parliament, convenes,Politics,Wikipedia
10,1,1854,The watch company founded in 1850 in Roxbury by Aaron Lufkin Dennison relocates to Waltham, Massachusetts, to become the Waltham Watch Company, the first industrial watch company in the United States,Business,Wikipedia
10,1,1856,The first railroad bridge across the Mississippi River is completed at Rock Island, Illinois,Infrastructure,Wikipedia
10,1,1870,US's first pictorial postages, the Great Central Fair Adhesives, to raise funds to aid wounded Union soldiers,Philately,Wikipedia
10,1,1880,John Philip Sousa is appointed director of the United States Marine Band,Music,Wikipedia
10,1,1887,Balochistan is divided into a British section and a princely state,Politics,Wikipedia
10,1,1890,Yosemite National Park is established by the U.S. Congress,Conservation,Wikipedia
10,1,1891,Stanford University opens its doors,Education,Wikipedia
10,1,1898,The Vienna University of Economics and Business Administration is founded,Education,Wikipedia
10,1,1903,The Baseball World Series is first held, two years after the formation of the American League,Sports,Wikipedia
10,1,1905,František Pavlík is killed in Sokolov, the first victim of the Czech anti-German demonstrations,Politics,Wikipedia
10,1,1908,Ford Model T automobiles are offered for sale at a price of US$825,Automotive,Wikipedia
10,1,1908,The First Nationalist Congress of Turkey is held in Istanbul,Politics,Wikipedia
10,1,1910,Los Angeles Times bombing: A large bomb destroys the Los Angeles Times building in the U.S. city of Los Angeles, California, killing 21,Disasters,Wikipedia
10,1,1910,The California Equal Suffrage League is founded by Carrie Chapman Catt,Politics,Wikipedia
10,1,1912,First Balkan War: Greece liberates Ioannina,Military,Wikipedia
10,1,1914,World War I: The Paris fashion house Maison Léger is captured by German forces,Military,Wikipedia
10,1,1918,Sayid Abdullah becomes the last Khan of Khiva,Politics,Wikipedia
10,1,1920,Sir Percy Cox lands in Bushire to assume his responsibilities as high commissioner in Iraq,Politics,Wikipedia
10,1,1921,The Spanish protectorate in Morocco is established,Politics,Wikipedia
10,1,1923,The 1923 German federal election is held,Politics,Wikipedia
10,1,1924,The International Telecommunication Union is founded,Technology,Wikipedia
10,1,1925,Alexander Alekhine defeats Efim Bogoljubov to win the world chess championship,Sports,Wikipedia
